Date,Close,High,Low,Open,Volume
12/24/2010,7353.649902,7378.100098,7287,7289.700195,0
12/27/2010,7364.100098,7407.75,7339.75,7339.75,0
12/28/2010,7387.25,7400.899902,7355.850098,7355.850098,0
12/29/2010,7426.600098,7446.5,7374.850098,7388.450195,0
12/30/2010,7503.649902,7512.100098,7429.149902,7429.149902,0
12/31/2010,7491.100098,7511.049805,7436.149902,7484.799805,0
1/3/2011,7492.450195,7524.600098,7463.799805,7503.950195,0
1/4/2011,7512.299805,7560.649902,7499.549805,7500.299805,0
1/5/2011,7508,7547.149902,7479.649902,7489.75,0
1/6/2011,7545.950195,7566.600098,7484.25,7544.700195,0
1/7/2011,7333.799805,7591.899902,7311.299805,7533.700195,0
1/10/2011,7317.450195,7418.200195,7264.75,7343.299805,0
1/11/2011,7194.5,7369.350098,7131.5,7233.549805,0
1/12/2011,7324.049805,7356.25,7195.149902,7247.350098,0
1/13/2011,7063.950195,7202.399902,7044.799805,7198.850098,0
1/14/2011,7068.200195,7219.799805,7043.649902,7043.649902,0
1/17/2011,7178.200195,7197.5,7049.799805,7057.549805,0
1/18/2011,7360.850098,7378.049805,7209.549805,7209.549805,0
1/19/2011,7267.100098,7353.600098,7231.149902,7349.450195,0
1/20/2011,7353.75,7373.600098,7207.799805,7222.899902,0
1/21/2011,7249.799805,7305.299805,7228.799805,7302.700195,0
1/24/2011,7295.100098,7312.75,7207.649902,7232.600098,0
1/25/2011,7242.5,7327.100098,7220.399902,7283.299805,0
1/27/2011,7146.549805,7256.5,7132.899902,7256.5,0
1/28/2011,7065.350098,7220.450195,7005.899902,7159.549805,0
1/31/2011,6971.25,6995.100098,6884.899902,6990.75,0
2/1/2011,6898.649902,6999.75,6824.75,6992,0
2/2/2011,6961.649902,7063.299805,6928.899902,6964.399902,0
2/3/2011,6998.899902,7061.799805,6928.549805,6978.75,0
2/4/2011,6850.649902,7001.399902,6824.200195,6965.649902,0
2/7/2011,6861.25,6920.350098,6839.799805,6916.850098,0
2/8/2011,6847.5,6915.450195,6830.75,6879.549805,0
2/9/2011,6828.899902,6867.149902,6759.049805,6825.149902,0
2/10/2011,6720.450195,6811.850098,6697.299805,6799.5,0
2/11/2011,6719.649902,6742.75,6624.049805,6667.25,0
2/14/2011,6869.049805,6888.100098,6724.399902,6727.450195,0
2/15/2011,6855.049805,6892.100098,6782.149902,6872.799805,0
2/16/2011,6862.100098,6884.850098,6800.399902,6831.149902,0
2/17/2011,6893.299805,6916.549805,6857,6895.600098,0
2/18/2011,6832.049805,6957.25,6805.149902,6911.350098,0
2/21/2011,7014.100098,7026.149902,6784.200195,6831.049805,0
2/22/2011,6966.799805,7029.600098,6900.399902,6958.350098,0
2/23/2011,6856.700195,6923.649902,6846.450195,6906.850098,0
2/24/2011,6706.450195,6827.799805,6683.75,6803.899902,0
2/25/2011,6679.799805,6728.200195,6599.75,6723.799805,0
2/28/2011,6666.299805,6918.700195,6628.049805,6688.549805,0
3/1/2011,6831.450195,6853.75,6671.549805,6714.600098,0
3/3/2011,6786.799805,6814.200195,6706.549805,6779.049805,0
3/4/2011,6810.549805,6894.700195,6793.649902,6859.850098,0
3/7/2011,6747.049805,6794.600098,6703.100098,6754.700195,0
3/8/2011,6871.700195,6898.350098,6722.850098,6730.299805,0
3/9/2011,6861.899902,6914.200195,6809,6879.950195,0
3/10/2011,6827.700195,6851.649902,6775.450195,6851.649902,0
3/11/2011,6722.25,6798.5,6692.700195,6780.399902,0
3/14/2011,6822,6831.049805,6676.899902,6683.049805,0
3/15/2011,6689.049805,6738.5,6630.899902,6686.049805,0
3/16/2011,6733.299805,6776.899902,6689.25,6689.25,0
3/17/2011,6633.850098,6690.799805,6624.399902,6651.649902,0
3/18/2011,6552.649902,6662.399902,6536.299805,6631.950195,0
3/21/2011,6504.850098,6581.200195,6489.649902,6578.899902,0
3/22/2011,6533.950195,6564.149902,6506.200195,6530.75,0
3/23/2011,6595.649902,6601.399902,6505.299805,6525.5,0
3/24/2011,6660.549805,6669.799805,6604,6605.899902,0
3/25/2011,6930.649902,6960.450195,6732.850098,6751.950195,0
3/28/2011,6912.350098,6938.700195,6857.200195,6901.149902,0
3/29/2011,6983.25,7026.149902,6902.649902,6903.950195,0
3/30/2011,7010.049805,7061.799805,6986.299805,6993.200195,0
3/31/2011,7148.100098,7192.350098,7021.450195,7021.450195,0
4/1/2011,7109.850098,7174.899902,7084.5,7136.799805,0
4/4/2011,7267.850098,7281.350098,7130.25,7130.25,0
4/5/2011,7313.799805,7324.100098,7188.350098,7265.5,0
4/6/2011,7270.850098,7344.899902,7242.299805,7305.75,0
4/7/2011,7215.399902,7249.75,7190.299805,7249.75,0
4/8/2011,7168.799805,7249,7136.5,7205.600098,0
4/11/2011,7157.850098,7207.5,7099.200195,7107.5,0
4/13/2011,7306.100098,7328.75,7089.5,7106.200195,0
4/15/2011,6842.149902,7298.25,6824.049805,7297.899902,0
4/18/2011,6651.049805,6852.450195,6638.299805,6764.399902,0
4/19/2011,6668.450195,6703.200195,6619.100098,6650.299805,0
4/20/2011,6818.149902,6825.600098,6745.799805,6745.799805,0
4/21/2011,6780.850098,6899.350098,6762.649902,6859.799805,0
4/25/2011,6834.399902,6856.549805,6773.350098,6778.450195,0
4/26/2011,6825.350098,6853.649902,6775.649902,6825.950195,0
4/27/2011,6809.100098,6832.25,6792.549805,6817.899902,0
4/28/2011,6729.75,6815.450195,6718.600098,6807.75,0
4/29/2011,6718.350098,6752.100098,6680.649902,6722.799805,0
5/2/2011,6715.649902,6772.399902,6697.200195,6740.549805,0
5/3/2011,6644.700195,6755.200195,6620,6711.25,0
5/4/2011,6576.5,6641.299805,6516.899902,6641.299805,0
5/5/2011,6506.549805,6583.649902,6484.850098,6577.799805,0
5/6/2011,6627,6658.600098,6530.649902,6530.649902,0
5/9/2011,6620.299805,6656.350098,6554.850098,6645.149902,0
5/10/2011,6596.75,6686.5,6568.799805,6616.450195,0
5/11/2011,6650.450195,6677.049805,6601.75,6601.75,0
5/12/2011,6569.200195,6644.200195,6559.700195,6618,0
5/13/2011,6609.549805,6668.149902,6565.450195,6569.200195,0
5/16/2011,6564.049805,6615.899902,6558.399902,6601.049805,0
5/17/2011,6562.5,6622.25,6541.200195,6547.75,0
5/18/2011,6582.549805,6640.149902,6527.350098,6572.899902,0
5/19/2011,6594.25,6620.450195,6580,6620.450195,0
5/20/2011,6615.399902,6637.049805,6576.700195,6609.649902,0
5/23/2011,6566.850098,6595.850098,6534.100098,6586.649902,0
5/24/2011,6557.600098,6587.549805,6537.049805,6552.600098,0
5/25/2011,6457.399902,6538.049805,6402.799805,6538.049805,0
5/26/2011,6450.450195,6488.850098,6410.950195,6478.649902,0
5/27/2011,6507.600098,6517.149902,6444.950195,6444.950195,0
5/30/2011,6515.899902,6540.5,6481.200195,6538.5,0
6/1/2011,6604.049805,6619.75,6544.799805,6544.799805,0
6/2/2011,6573.200195,6593,6530,6535.75,0
6/3/2011,6562.049805,6633.149902,6555.5,6574.600098,0
6/6/2011,6610.450195,6624.600098,6519.899902,6549.350098,0
6/7/2011,6696.450195,6711.200195,6592.25,6592.25,0
6/8/2011,6672.600098,6701.850098,6652.200195,6684.100098,0
6/9/2011,6659.350098,6682.350098,6642.049805,6670.950195,0
6/10/2011,6653.450195,6689.75,6633.899902,6664.649902,0
6/13/2011,6650.600098,6661.850098,6592.899902,6631.25,0
6/14/2011,6671.350098,6682.25,6655.850098,6656.700195,0
6/15/2011,6595.200195,6654.399902,6581.950195,6650.299805,0
6/16/2011,6480.75,6582.25,6474,6582.25,0
6/17/2011,6357.100098,6485.5,6336.850098,6481.700195,0
6/20/2011,6166.450195,6367.5,6050,6365.75,0
6/21/2011,6237.149902,6274.75,6160.799805,6193.399902,0
6/22/2011,6240.200195,6297,6223.850098,6281.799805,0
6/23/2011,6298.350098,6311.850098,6199.299805,6228.399902,0
6/24/2011,6499.100098,6520.100098,6318.200195,6318.200195,0
6/27/2011,6530.799805,6585.950195,6428.700195,6437.100098,0
6/28/2011,6525.350098,6561.649902,6465.399902,6543.299805,0
6/29/2011,6570.600098,6596.549805,6531.5,6531.5,0
6/30/2011,6624.700195,6640.5,6558.950195,6579.049805,0
7/1/2011,6674.75,6715.649902,6648,6681.75,0
7/4/2011,6685.850098,6746.649902,6678.149902,6724.75,0
7/5/2011,6708.399902,6732.649902,6660.350098,6711.950195,0
7/6/2011,6704.100098,6748.200195,6672.25,6695.25,0
7/7/2011,6787.350098,6796.799805,6696.950195,6705.75,0
7/8/2011,6723.850098,6835.25,6714,6793,0
7/11/2011,6612.049805,6719.5,6574.899902,6689.299805,0
7/12/2011,6415.450195,6483.049805,6337.799805,6483.049805,0
7/13/2011,6408.549805,6454.799805,6382.700195,6384.899902,0
