Date,Open,High,Low,Close,Volume,Close_lag1,Volume_lag1,RSI_14,SMA_20,SMA_50,MACD,MACD_hist,BB_percentB,Stoch_K,ATR_14,Williams_R,ADX_14,CCI_20,ROC_10,Volume_SMA_20
1/2/2012,4586.649902,4592.700195,4542.700195,4567.600098,2974000,4576.25,4487000,47.00925528,4581.977515,4622.001016,-18.60494667,0.114617605,0.418128209,41.57829852,57.9429755,-58.42170148,20.93190013,-33.31820494,0.299737643,5665700
1/3/2012,4586.950195,4638.049805,4584.450195,4634.5,3791000,4567.600098,2974000,56.05141319,4577.907519,4624.603018,-11.88717339,5.465912709,0.924426453,85.94154257,58.40011136,-14.05845743,20.96553659,99.45715247,2.693355782,5682750
1/4/2012,4631.799805,4663.600098,4617.75,4655.75,4608000,4634.5,3791000,58.47521757,4578.725024,4626.21502,-4.793337682,10.04779873,1.048969874,95.05350453,56.26440407,-4.946495466,22.78510096,177.1570952,2.122175916,5596200
1/5/2012,4665.25,4690.850098,4641.75,4648.549805,6223000,4655.75,4608000,57.32165442,4579.465015,4627.71002,0.244761219,12.06871811,0.974105529,77.25181586,53.26081179,-22.74818414,24.23878411,196.2617817,1.465707086,5618050
1/6/2012,4641.899902,4676.75,4620.899902,4658.600098,5048000,4648.549805,6223000,58.55080414,4582.08252,4629.52002,4.990933161,13.45191204,0.976495933,82.65664641,52.31797557,-17.34335359,26.08811419,159.4927994,2.135400746,5604600
1/9/2012,4672.799805,4712.100098,4639.700195,4699.399902,6463000,4658.600098,5048000,63.18605845,4588.475024,4631.729014,11.90725238,16.29458501,1.079847397,93.79116216,52.55011843,-6.208837843,27.8335486,184.2290519,3.221127934,5717050
1/10/2012,4708.350098,4758.049805,4708.350098,4747.299805,4970000,4699.399902,6463000,67.7463956,4596.042505,4633.56001,21.01140064,20.31898662,1.134513224,95.70858283,52.63936936,-4.291417166,30.18212141,215.7459263,4.560317273,5661150
1/11/2012,4755.649902,4765.399902,4720.200195,4756.75,4469000,4747.299805,4970000,68.57352067,4604.894995,4633.246006,28.65869587,22.37302548,1.047138166,96.6453757,52.32505579,-3.354624296,30.95571684,181.1640466,4.517541774,5458800
1/12/2012,4748.049805,4794.5,4742,4755.049805,4549000,4756.75,4469000,68.23448958,4612.524976,4633.635,34.18794358,22.32181855,0.962334385,86.25190166,51.77504186,-13.74809834,32.40853947,163.2799538,4.516930439,5217000
1/13/2012,4759,4771.450195,4723.049805,4752.049805,5569000,4755.049805,4549000,67.5994027,4620.699976,4634.695,37.89105283,20.81994223,0.896367124,85.20642406,52.51792686,-14.79357594,33.25577682,125.0262047,3.841569079,5085350
1/16/2012,4738.600098,4738.600098,4688.600098,4708.149902,3578000,4752.049805,5569000,58.95253759,4628.409961,4634.197998,36.85855585,15.8299562,0.738799782,69.90763571,53.82505579,-30.09236429,34.47382671,79.6626125,3.077103971,4863750
1/17/2012,4712.75,4763.649902,4712.75,4745.200195,5776000,4708.149902,3578000,63.22767153,4640.022461,4634.626006,38.58515784,14.04524656,0.817858501,81.32230779,54.20717079,-18.67769221,36.79080521,95.26576185,2.388611393,4837500
1/18/2012,4751.149902,4778.950195,4723.649902,4742.350098,4510000,4745.200195,5776000,62.68680239,4649.189966,4634.494004,39.27083363,11.78473788,0.779161079,80.24252189,56.21787814,-19.75747811,39.43583528,92.95227274,1.860067615,4683700
1/19/2012,4761.850098,4826.350098,4756.75,4813.549805,4904000,4742.350098,4510000,69.66746927,4660.797461,4636.775996,45.0402618,14.04333284,0.926997288,95.4872916,57.61785029,-4.5127084,43.63574462,123.1025179,3.549494077,4636700
1/20/2012,4821.5,4830.899902,4747.149902,4790.950195,5731000,4813.549805,4904000,65.48000992,4672.284961,4639.967998,47.24437184,12.9979543,0.827031463,83.78991499,60.02856457,-16.21008501,47.57352556,102.851038,2.840984292,4720700
1/23/2012,4799,4823.649902,4768.25,4782.25,3687000,4790.950195,5731000,63.88797562,4683.759961,4642.388994,47.73880863,10.79391288,0.775722354,77.17573335,58.9535785,-22.82426665,50.48393458,95.04580841,1.762993142,4772450
